,dim_partner_partner_id,dim_partner_partner_name,cuisine,%slowdelivery,%vendorlate,%riderlate,avg_estimated_prep_time,Orders,acumulado,new_ept,new_ept_fixed,partner_id,partner_name,strategy,buffer,STRATEGY2
95,488934,under pizza - concepción,pizzas,0.175059952,0.2536715621,0.06956521739,14.20863309,834,0.1613762032,22,22,488934,Under Pizza - Concepción,OPS_PERMANENT,0,OPS_PERMANENT
96,226813,little caesars pizza gran avenida,pizzas,0.2404438964,0.1205479452,0.07711757269,19.69543773,811,0.1692850804,28,28,226813,Little Caesars Pizza Gran Avenida,COMPUTED,0,OPS_TEMPORARY
97,343881,little caesars pizza la montaña,pizzas,0.1552795031,0.2430167598,0.09823677582,10.77018634,805,0.1771354456,19,19,343881,Little Caesars Pizza La Montaña,OPS_PERMANENT,1,OPS_PERMANENT
98,248581,tio's pizza antofagasta,pizzas,0.144836272,0.09078590786,0.04651162791,21.32493703,794,0.1848785388,29,29,248581,Tio's Pizza Antofagasta,COMPUTED,1,OPS_TEMPORARY
99,144830,papa john's pizza - antofagasta centro,pizzas,0.1544502618,0.1270949721,0.04787234043,18.56151832,764,0.1923290717,27,27,144830,Papa John's Pizza - Antofagasta Centro,COMPUTED,2,OPS_TEMPORARY
100,315244,under pizza - departamental,pizzas,0.2818791946,0.2646616541,0.09276944065,21.61208054,745,0.1995943165,30,30,315244,Under Pizza - Departamental,OPS_PERMANENT,0,OPS_PERMANENT
101,198518,papa john's pizza - la chimba,pizzas,0.1623815968,0.5446685879,0.05191256831,11.46820027,739,0.2068010493,19,19,198518,Papa John's Pizza - La Chimba,OPS_PERMANENT,0,OPS_PERMANENT
102,511803,little caesars pizza - gran avenida 2,pizzas,0.1307371349,0.1114551084,0.08108108108,12.88456189,719,0.213812742,21,21,511803,Little Caesars Pizza - Gran Avenida 2,COMPUTED,0,OPS_TEMPORARY
103,141610,papa john's pizza - plaza brasil,pizzas,0.1420534459,0.08095238095,0.08563134978,16.62165963,711,0.2207464186,25,25,141610,Papa John's Pizza - Plaza Brasil,COMPUTED,0,OPS_TEMPORARY
104,282867,papa johns pizza - ovalle,pizzas,0.156779661,0.1459627329,0.03880597015,19.92231638,708,0.2276508392,28,28,282867,Papa Johns Pizza - Ovalle,COMPUTED,0,OPS_TEMPORARY
105,205413,little caesars pizza vicuña mackenna,pizzas,0.3847241867,0.4184027778,0.1312217195,16.79915134,707,0.2345455077,25,25,205413,Little Caesars Pizza Vicuña Mackenna,OPS_PERMANENT,0,OPS_PERMANENT
106,222586,papa john's pizza - temuco norte,pizzas,0.2011412268,0.1485451761,0.05087209302,21.77318117,701,0.2413816643,30,30,222586,Papa John's Pizza - Temuco Norte,COMPUTED,1,OPS_TEMPORARY
107,135160,melt pizzas - quilpue,pizzas,0.1759530792,0.09148264984,0.04229607251,22.92082111,682,0.2480325327,31,30,135160,Melt Pizzas - Quilpue,OPS_TEMPORARY,2,OPS_TEMPORARY
108,227217,little caesars pedro fontova,pizzas,0.1362962963,0.1122278057,0.06279434851,14.03111111,675,0.2546151371,22,22,227217,Little Caesars Pedro Fontova,COMPUTED,1,OPS_TEMPORARY
109,397667,papa john's pizza - colina,pizzas,0.07390648567,0.0992,0.009508716323,17.97435897,663,0.2610807174,26,26,397667,Papa John's Pizza - Colina,OPS_TEMPORARY,2,OPS_TEMPORARY
110,141208,papa john's pizza - froilan roa,pizzas,0.2133956386,0.1576182137,0.08785942492,18.81775701,642,0.2673415055,27,27,141208,Papa John's Pizza - Froilan Roa,COMPUTED,0,OPS_TEMPORARY
111,294801,little caesars pizza campo de deporte,pizzas,0.1067503925,0.1033333333,0.04912836767,13.65463108,637,0.2735535336,22,22,294801,Little Caesars Pizza Campo De Deporte,COMPUTED,1,OPS_TEMPORARY
112,397666,papa john's pizza - vivo chillán,pizzas,0.07923930269,0.08265802269,0.006441223833,19.14104596,631,0.2797070497,27,27,397666,Papa John's Pizza - Vivo Chillán,OPS_TEMPORARY,2,OPS_TEMPORARY
113,222229,papa john's pizza - peñuelas,pizzas,0.1419457735,0.08732876712,0.05501618123,17.89314195,627,0.2858215578,26,26,222229,Papa John's Pizza - Peñuelas,COMPUTED,0,OPS_TEMPORARY
114,264652,papa john's pizza - linares,pizzas,0.3167202572,0.4795737123,0.0678807947,17.45016077,622,0.2918873058,25,25,264652,Papa John's Pizza - Linares,OPS_PERMANENT,0,OPS_PERMANENT
115,354027,melt pizzas - talca las rastras,pizzas,0.1655844156,0.1899827288,0.04612850082,20.41558442,616,0.2978945418,28,28,354027,Melt Pizzas - Talca Las Rastras,COMPUTED,1,OPS_TEMPORARY
116,135846,little caesars pizza bellavista,pizzas,0.2598039216,0.1748120301,0.09830508475,16.66176471,612,0.3038627698,25,25,135846,Little Caesars Pizza Bellavista,COMPUTED,0,OPS_TEMPORARY
117,141502,papa john's salvador,pizzas,0.07868852459,0.1280701754,0.04362416107,17.02131148,610,0.3098114937,25,25,141502,Papa John's Salvador,OPS_TEMPORARY,2,OPS_TEMPORARY
118,341841,papa johns pizza  - nos,pizzas,0.1688741722,0.1128404669,0.1076388889,19.86754967,604,0.3157017056,28,28,341841,Papa Johns Pizza  - Nos,COMPUTED,0,OPS_TEMPORARY
119,133742,papa john's pizza - talca,pizzas,0.1395348837,0.1781305115,0.03242320819,22.06478405,602,0.3215724135,30,30,133742,Papa John's Pizza - Talca,COMPUTED,2,OPS_TEMPORARY
120,311199,little caesars pizza independencia 403,pizzas,0.1913477537,0.1503006012,0.115248227,13.35274542,601,0.3274333694,21,21,311199,Little Caesars Pizza Independencia 403,COMPUTED,0,OPS_TEMPORARY
121,147549,papa john's pizza - gran avenida sur,pizzas,0.1172529313,0.1111111111,0.07491289199,16.52596315,597,0.3332553173,25,25,147549,Papa John's Pizza - Gran Avenida Sur,COMPUTED,2,OPS_TEMPORARY
122,115154,little caesars pizza maipu,pizzas,0.1390284757,0.1106796117,0.1135972461,12.99329983,597,0.3390772651,21,21,115154,Little Caesars Pizza Maipu,OPS_PERMANENT,0,OPS_PERMANENT
123,264655,papa john's pizza - la calera,pizzas,0.2483108108,0.2011070111,0.03386809269,21.68412162,592,0.344850453,30,30,264655,Papa John's Pizza - La Calera,COMPUTED,1,OPS_TEMPORARY
124,116112,melt pizzas - plaza brasil,pizzas,0.3116438356,0.1812865497,0.08880994671,22.9760274,584,0.3505456248,31,30,116112,Melt Pizzas - Plaza Brasil,COMPUTED,0,OPS_TEMPORARY
125,237082,under pizza - estación central,pizzas,0.2319587629,0.350305499,0.1355633803,9.644329897,582,0.3562212925,18,18,237082,Under Pizza - Estación Central,OPS_PERMANENT,0,OPS_PERMANENT
126,220084,papa john's pizza - hualpen,pizzas,0.2387543253,0.1931166348,0.06939501779,21.50692042,578,0.3618579523,30,30,220084,Papa John's Pizza - Hualpen,COMPUTED,1,OPS_TEMPORARY
127,302487,under pizza - recoleta,pizzas,0.2690972222,0.1968810916,0.078994614,22.43576389,576,0.367475108,30,30,302487,Under Pizza - Recoleta,COMPUTED,0,OPS_TEMPORARY
128,133683,papa john's pizza - viña centro,pizzas,0.2744755245,0.1898989899,0.1048824593,19.37762238,572,0.3730532557,27,27,133683,Papa John's Pizza - Viña Centro,COMPUTED,1,OPS_TEMPORARY
129,205428,little caesars pizza peñalolen,pizzas,0.3356890459,0.2603036876,0.1708633094,14.87632509,566,0.3785728914,23,23,205428,Little Caesars Pizza Peñalolen,OPS_PERMANENT,0,OPS_PERMANENT
130,282469,happy box pizzas - alameda,pizzas,0.08021390374,0.08823529412,0.02158273381,22.75222816,561,0.384043767,31,30,282469,Happy Box Pizzas - Alameda,COMPUTED,1,OPS_TEMPORARY
131,141342,papa john’s pizza - melipilla,pizzas,0.04339963834,0.1458333333,0.009380863039,17.96745027,553,0.3894366266,26,26,141342,Papa John’s Pizza - Melipilla,COMPUTED,2,OPS_TEMPORARY
132,479488,under pizza - calle valparaiso,pizzas,0.3345454545,0.2743764172,0.1863468635,13.25636364,550,0.3948002301,21,21,479488,Under Pizza - Calle Valparaiso,OPS_PERMANENT,0,OPS_PERMANENT
133,128743,mcdonald's - san bernardo,hamburguesas,0.2181322427,0.1545524101,0.08087201125,15.0074983,2934,0.01840375351,23,23,128743,McDonald's - San Bernardo,COMPUTED,2,OPS_TEMPORARY
134,505768,mcdonald´s - puerto montt centro 1,hamburguesas,0.1272923409,0.08294025157,0.0403621275,14.96296296,2781,0.03584780209,23,23,505768,McDonald´s - Puerto Montt Centro 1,OPS_TEMPORARY,2,OPS_TEMPORARY
135,493918,mcdonald's chillán argentina,hamburguesas,0.07915789474,0.1769713262,0.02404897245,11.41852632,2375,0.05074518266,19,19,493918,Mcdonald's Chillán Argentina,COMPUTED,3,OPS_TEMPORARY
136,478699,mcdonald's calama,hamburguesas,0.0899231812,0.2209082308,0.03116406966,12.10257569,2213,0.06462640506,20,20,478699,Mcdonald's Calama,OPS_PERMANENT,1,OPS_PERMANENT
137,112822,mcdonald's los ángeles,hamburguesas,0.1313229572,0.1866666667,0.02451225613,13.53891051,2056,0.0775228322,22,22,112822,McDonald's Los Ángeles,COMPUTED,2,OPS_TEMPORARY
138,65501,mcdonald's antofagasta playa,hamburguesas,0.1151727591,0.1557682084,0.03637295082,14.67100651,1997,0.09004917704,23,23,65501,McDonald's Antofagasta Playa,COMPUTED,1,OPS_TEMPORARY
139,478196,mcdonald's copiapo,hamburguesas,0.07972177635,0.1409966025,0.01943364797,11.30765115,1869,0.1017726315,19,19,478196,Mcdonald's Copiapo,COMPUTED,2,OPS_TEMPORARY
140,104501,mcdonald's macul,hamburguesas,0.07252998287,0.1079442086,0.03341148886,11.79154769,1751,0.1127559213,20,20,104501,McDonald's Macul,COMPUTED,2,OPS_TEMPORARY
141,88318,mcdonald's gran avenida lider,hamburguesas,0.2212389381,0.1808093995,0.07710843373,15.06017699,1695,0.1233879466,23,23,88318,McDonald's Gran Avenida Lider,OPS_TEMPORARY,2,OPS_TEMPORARY
142,66391,mcdonald's pajaritos,hamburguesas,0.2245153221,0.2350396539,0.09817945384,16.91432145,1599,0.1334178041,25,25,66391,McDonald's Pajaritos,COMPUTED,2,OPS_TEMPORARY
143,65500,mcdonald's antofagasta centro,hamburguesas,0.1064102564,0.133148405,0.05256241787,14.76153846,1560,0.1432030309,23,23,65500,McDonald's Antofagasta Centro,COMPUTED,2,OPS_TEMPORARY
144,102217,mcdonald's valdivia,hamburguesas,0.1806020067,0.273386512,0.05741626794,14.55451505,1495,0.1525805399,23,23,102217,McDonald's Valdivia,COMPUTED,3,OPS_TEMPORARY
145,121666,burger king® - machalí,hamburguesas,0.1354309166,0.1321713871,0.0350385424,13.79480164,1462,0.1617510538,22,22,121666,Burger King® - Machalí,COMPUTED,1,OPS_TEMPORARY
146,506070,mcdonald's temuco 2,hamburguesas,0.1683848797,0.144984326,0.08791994282,15,1455,0.1708776596,23,23,506070,McDonald's Temuco 2,COMPUTED,2,OPS_TEMPORARY
147,66488,mcdonald's arica,hamburguesas,0.1634897361,0.1909017059,0.07094339623,10.77492669,1364,0.1794334605,19,19,66488,McDonald's Arica,COMPUTED,1,OPS_TEMPORARY
148,67557,mcdonald's talca,hamburguesas,0.05419450631,0.1782334385,0.02461538462,10.52783964,1347,0.1878826275,19,19,67557,McDonald's Talca,COMPUTED,2,OPS_TEMPORARY
149,65459,mcdonald's placilla,hamburguesas,0.02228826152,0.04721362229,0.01674277017,10.30683507,1346,0.1963255219,18,18,65459,McDonald's Placilla,COMPUTED,1,OPS_TEMPORARY
150,439862,mcdonald's bilbao,hamburguesas,0.05130111524,0.1137820513,0.04660045837,11.84386617,1345,0.2047621437,20,20,439862,Mcdonald's Bilbao,OPS_TEMPORARY,2,OPS_TEMPORARY
151,142340,burger king® - curico,hamburguesas,0.0253164557,0.04475183076,0.0008130081301,10.63528481,1264,0.2126906865,19,19,142340,Burger King® - Curico,COMPUTED,2,OPS_TEMPORARY
152,65828,mcdonald's rancagua mall,hamburguesas,0.1129310345,0.1030837004,0.006999125109,9.918103448,1160,0.2199668808,18,18,65828,McDonald's Rancagua Mall,COMPUTED,2,OPS_TEMPORARY
153,62284,mcdonald's serena balmaceda,hamburguesas,0.1942758023,0.1994191675,0.06853020739,13.96964441,1153,0.227199167,22,22,62284,McDonald's Serena Balmaceda,COMPUTED,1,OPS_TEMPORARY
154,472324,mcdonald's rancagua 4,hamburguesas,0.06063268893,0.09489051095,0.0223015165,10.91827768,1138,0.2343373645,19,19,472324,McDonald's Rancagua 4,COMPUTED,1,OPS_TEMPORARY
155,105573,wendy's calama,hamburguesas,0.05310531053,0.1171662125,0.003619909502,11.6579658,1111,0.2413062023,20,20,105573,Wendy's Calama,COMPUTED,2,OPS_TEMPORARY
156,343250,mcdonald´s paseo la montaña,hamburguesas,0.08876811594,0.163546798,0.0522875817,9.289855072,1104,0.2482311321,17,17,343250,McDonald´s Paseo La Montaña,COMPUTED,2,OPS_TEMPORARY
157,166124,mcdonald's portal temuco,hamburguesas,0.1142061281,0.1078921079,0.04575786463,9.096564531,1077,0.2549867021,17,17,166124,McDonald's Portal Temuco,COMPUTED,1,OPS_TEMPORARY
158,58458,mcdonald's rotonda atenas,hamburguesas,0.04482071713,0.09483667018,0.03064351379,13.23306773,1004,0.2612843737,21,21,58458,McDonald's Rotonda Atenas,COMPUTED,1,OPS_TEMPORARY
159,200188,proburger - inés de suarez,hamburguesas,0.0847639485,0.1351981352,0.06229508197,14.15772532,932,0.2671304195,22,22,200188,Proburger - Inés De Suarez,COMPUTED,2,OPS_TEMPORARY
160,474807,burger king® - mall plaza calama,hamburguesas,0.06911447084,0.1054994388,0.01219512195,10.88444924,926,0.2729388298,19,19,474807,Burger King® - Mall Plaza Calama,COMPUTED,2,OPS_TEMPORARY
161,66202,burger king® - los héroes,hamburguesas,0.1327529924,0.09331651955,0.08004640371,13.53318825,919,0.278703332,22,22,66202,Burger King® - Los Héroes,COMPUTED,1,OPS_TEMPORARY
162,127159,burger king® - dreams temuco,hamburguesas,0.1122112211,0.08793969849,0.07976878613,12.7029703,909,0.2844051084,21,21,127159,Burger King® - Dreams Temuco,COMPUTED,1,OPS_TEMPORARY
163,65378,mcdonald's reñaca,hamburguesas,0.1530837004,0.1430317848,0.05977011494,14.60462555,908,0.2901006122,23,23,65378,McDonald's Reñaca,COMPUTED,2,OPS_TEMPORARY
164,478701,mcdonald's ovalle,hamburguesas,0.08351893096,0.1696535245,0.01529411765,12.85857461,898,0.2957333902,21,21,478701,Mcdonald's Ovalle,COMPUTED,1,OPS_TEMPORARY
165,100940,mcdonald's gran avenida 18,hamburguesas,0.1465324385,0.1826309068,0.08421052632,15.67449664,894,0.3013410779,24,24,100940,McDonald's Gran Avenida 18,COMPUTED,1,OPS_TEMPORARY
166,67565,mcdonald's florida modular,hamburguesas,0.2079545455,0.1702668361,0.08381839348,13.92272727,880,0.3068609494,22,22,67565,McDonald's Florida Modular,COMPUTED,1,OPS_TEMPORARY
167,506987,burger king - mid mall maipu,hamburguesas,0.152,0.1520912548,0.0695754717,15.216,875,0.312349458,23,23,506987,Burger King - Mid Mall Maipu,COMPUTED,1,OPS_TEMPORARY
168,163495,mcdonald's vicente valdes,hamburguesas,0.2027491409,0.1882352941,0.08383233533,16.17754868,873,0.3178254215,24,24,163495,McDonald's Vicente Valdes,COMPUTED,1,OPS_TEMPORARY
169,170321,pedro juan y diego portal osorno,hamburguesas,0.1324582339,0.1766304348,0.1067961165,8.280429594,838,0.3230818446,16,16,170321,Pedro Juan Y Diego Portal Osorno,COMPUTED,0,OPS_TEMPORARY
170,507733,mcdonald´s - liray,hamburguesas,0.07553956835,0.06483790524,0.007425742574,11.0971223,834,0.3283131774,19,19,507733,McDonald´s - Liray,COMPUTED,1,OPS_TEMPORARY
171,154223,burger king® - el llano,hamburguesas,0.130806846,0.05064935065,0.02284263959,11.82396088,818,0.3334441489,20,20,154223,Burger King® - El Llano,COMPUTED,1,OPS_TEMPORARY
172,109978,mcdonald's providencia ii,hamburguesas,0.08722358722,0.2503293808,0.04408060453,12.09336609,814,0.3385500301,20,20,109978,Mcdonald's Providencia Ii,COMPUTED,3,OPS_TEMPORARY
173,534562,burger king - curauma ak,hamburguesas,0.02962962963,0.05628272251,0.01546391753,12.7617284,810,0.343630821,21,21,534562,Burger King - Curauma Ak,OPS_TEMPORARY,2,OPS_TEMPORARY
174,449377,mcdonald's tierras blancas,hamburguesas,0.0701754386,0.1161548732,0.0409731114,14.13408521,798,0.3486363408,22,22,449377,Mcdonald's Tierras Blancas,COMPUTED,0,OPS_TEMPORARY
175,67412,mcdonald's ahumada,hamburguesas,0.1757269279,0.2114285714,0.07894736842,16.61188369,791,0.3535979526,25,25,67412,McDonald's Ahumada,COMPUTED,2,OPS_TEMPORARY
176,63524,burger king® - rancagua,hamburguesas,0.1128010139,0.1038107753,0.01040312094,12.40430925,789,0.3585470193,20,20,63524,Burger King® - Rancagua,COMPUTED,2,OPS_TEMPORARY
177,233775,pollo rey ñuñoa,hamburguesas,0.08333333333,0.08737864078,0.04249667995,10.14192708,768,0.3633643617,18,18,233775,Pollo Rey Ñuñoa,COMPUTED,0,OPS_TEMPORARY
178,107241,burger king® - vicuña mackenna,hamburguesas,0.2257217848,0.1701183432,0.08894878706,13.4015748,762,0.3681440686,21,21,107241,Burger King® - Vicuña Mackenna,COMPUTED,1,OPS_TEMPORARY
179,66566,burger king® - apumanque,hamburguesas,0.017310253,0.04456824513,0.0204638472,10.16511318,751,0.3728547772,18,18,66566,Burger King® - Apumanque,COMPUTED,1,OPS_TEMPORARY
180,413372,mcdonald's la cantera,hamburguesas,0.09769335142,0.1394302849,0.04985754986,15.85074627,737,0.3774776696,24,24,413372,McDonald's La Cantera,COMPUTED,1,OPS_TEMPORARY
181,477691,mcdonald's talca colin,hamburguesas,0.01095890411,0.1057827927,0.01527777778,9.010958904,730,0.382056654,17,17,477691,Mcdonald's Talca Colin,COMPUTED,1,OPS_TEMPORARY
182,425091,pronto pérez zújovic,hamburguesas,0.08827586207,0.09984639017,0.04685212299,15.47310345,725,0.3866042754,23,23,425091,Pronto Pérez Zújovic,COMPUTED,1,OPS_TEMPORARY
183,439914,mcdonald's peñaflor,hamburguesas,0.1975138122,0.177443609,0.03762662808,13.6698895,724,0.3911456242,22,22,439914,Mcdonald's Peñaflor,COMPUTED,1,OPS_TEMPORARY
184,177068,mcdonald's - mall arauco quilicura,hamburguesas,0.129707113,0.2160120846,0.0293255132,11.31101813,717,0.395643065,19,19,177068,Mcdonald's - Mall Arauco Quilicura,COMPUTED,2,OPS_TEMPORARY